Metric,Units,Region,Type,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10,year11,year12,year13,year14,year15,year16,year17,year18,year19,year20,year21,year22,year23,year24,year25,year26,year27,year28,year29,year30,year31,year32,year33,year34,year35,year36,year37,year38,year39,year40
costsPerTree,dollars,Inland Valley (San Juaquin Valley),Large,83.02708355,23.78706026,35.6805904,47.57412053,59.46765066,50.12639242,40.78513419,31.44387595,22.10261772,12.76135948,14.50839956,16.25543963,18.0024797,19.74951977,21.49655984,22.02294814,22.54933643,23.07572473,23.60211303,24.12850132,24.40449951,24.6804977,24.95649588,25.23249407,25.50849226,25.62515128,25.74181031,25.85846934,25.97512837,26.09178739,26.10032342,26.10885945,26.11739547,26.1259315,26.13446753,26.39339366,26.6523198,26.91124593,27.17017206,27.4290982
benefitsPerTree,dollars,Southwest desert,Small,2.258499735,4.516999471,6.775499206,9.033998941,11.29249868,12.20091746,13.10933624,14.01775502,14.92617381,15.83459259,17.15706966,18.47954672,19.80202379,21.12450086,22.44697792,23.59881279,24.75064765,25.90248252,27.05431738,28.20615225,29.41570433,30.62525641,31.83480849,33.04436057,34.25391265,35.30536975,36.35682685,37.40828395,38.45974105,39.51119815,39.36565039,39.22010263,39.07455487,38.9290071,38.78345934,38.52247715,38.26149496,38.00051277,37.73953058,37.47854839
benefitsPerTree,dollars,Southwest desert,Med,4.732811668,9.465623335,14.198435,18.93124667,23.66405834,25.97274696,28.28143557,30.59012419,32.89881281,35.20750143,37.47854839,39.74959534,42.0206423,44.29168925,46.56273621,48.35698878,50.15124134,51.94549391,53.73974648,55.53399905,56.92674055,58.31948205,59.71222356,61.10496506,62.49770656,63.52908811,64.56046966,65.5918512,66.62323275,67.65461429,69.30833799,70.96206168,72.61578538,74.26950907,75.92323277,77.2833515,78.64347023,80.00358896,81.36370769,82.72382642
benefitsPerTree,dollars,Southwest desert,Large,3.641203462,7.282406924,10.92361039,14.56481385,18.20601731,20.2913654,22.37671349,24.46206158,26.54740967,28.63275776,31.06942803,33.5060983,35.94276857,38.37943884,40.81610911,43.00183496,45.18756082,47.37328667,49.55901253,51.74473838,54.17638976,56.60804114,59.03969253,61.47134391,63.90299529,66.07868337,68.25437145,70.43005952,72.6057476,74.78143568,76.27204551,77.76265533,79.25326516,80.74387498,82.23448481,83.26084746,84.28721012,85.31357278,86.33993544,87.36629809
benefitsPerTree,dollars,Southwest desert,Conifer,1.784214791,3.568429582,5.352644373,7.136859164,8.921073954,11.91985971,14.91864547,17.91743123,20.91621699,23.91500275,26.7481652,29.58132764,32.41449009,35.24765254,38.08081498,40.48486248,42.88890997,45.29295747,47.69700497,50.10105246,52.64060994,55.18016742,57.7197249,60.25928238,62.79883986,65.26813291,67.73742595,70.20671899,72.67601204,75.14530508,77.53429591,79.92328674,82.31227758,84.70126841,87.09025924,89.74023226,92.39020528,95.04017831,97.69015133,100.3401244
benefitsPerTree,dollars,Inland Empire,Small,1.019802112,2.039604224,3.059406335,4.079208447,5.099010559,5.607573292,6.116136025,6.624698758,7.133261491,7.641824224,8.351135404,9.060446584,9.769757764,10.47906894,11.18838012,12.02081702,12.85325391,13.68569081,14.5181277,15.3505646,16.33557031,17.32057602,18.30558174,19.29058745,20.27559317,21.43458087,22.59356857,23.75255627,24.91154398,26.07053168,27.46774087,28.86495006,30.26215925,31.65936845,33.05657764,34.77766099,36.49874435,38.2198277,39.94091106,41.66199441
benefitsPerTree,dollars,Inland Empire,Med,5.86720795,11.7344159,17.60162385,23.4688318,29.33603975,32.89865553,36.4612713,40.02388708,43.58650286,47.14911863,51.02490199,54.90068534,58.7764687,62.65225205,66.5280354,70.13347752,73.73891963,77.34436174,80.94980385,84.55524596,87.45673019,90.35821441,93.25969863,96.16118286,99.06266708,100.8078402,102.5530134,104.2981866,106.0433598,107.7885329,108.1766466,108.5647602,108.9528739,109.3409876,109.7291012,108.5647602,107.4004193,106.2360783,105.0717373,103.9073963
benefitsPerTree,dollars,Inland Empire,Large,10.35326658,20.70653317,31.05979975,41.41306634,51.76633292,56.61373876,61.4611446,66.30855043,71.15595627,76.00336211,80.81329491,85.6232277,90.4331605,95.24309329,100.0530261,104.6300907,109.2071553,113.7842199,118.3612845,122.9383491,127.1674497,131.3965503,135.6256509,139.8547516,144.0838522,148.0104918,151.9371314,155.8637711,159.7904107,163.7170503,167.3947619,171.0724734,174.750185,178.4278965,182.1056081,185.4514155,188.797223,192.1430304,195.4888379,198.8346453
benefitsPerTree,dollars,Northern California Coast,Small,3.082603606,6.165207213,9.247810819,12.33041443,15.41301803,16.86084173,18.30866543,19.75648912,21.20431282,22.65213652,24.52169865,26.39126078,28.26082291,30.13038504,31.99994717,34.40429103,36.80863488,39.21297874,41.6173226,44.02166645,46.45861895,48.89557145,51.33252395,53.76947645,56.20642894,58.52599033,60.84555172,63.16511311,65.4846745,67.80423588,69.98684098,72.16944607,74.35205116,76.53465625,78.71726135,80.76725796,82.81725458,84.86725119,86.91724781,88.96724442
benefitsPerTree,dollars,Northern California Coast,Med,8.604333621,17.20866724,25.81300086,34.41733448,43.0216681,45.87383731,48.72600651,51.57817572,54.43034492,57.28251412,59.28685864,61.29120316,63.29554768,65.29989219,67.30423671,68.70206049,70.09988427,71.49770805,72.89553183,74.29335561,75.3955277,76.49769979,77.59987189,78.70204398,79.80421607,80.27812833,80.7520406,81.22595286,81.69986512,82.17377738,82.58029845,82.98681951,83.39334058,83.79986165,84.20638272,84.51290395,84.81942518,85.12594642,85.43246765,85.73898888
